date,data,rest,drill,drill_name
1/1/2000 12:00:10 PM,-0.055986832,1,1,stretching
1/1/2000 12:00:20 PM,0.271204449,1,1,stretching
1/1/2000 12:00:30 PM,0.410991922,1,1,stretching
1/1/2000 12:00:40 PM,0.584461965,1,1,stretching
1/1/2000 12:00:50 PM,0.767134416,1,1,stretching
1/1/2000 12:01:00 PM,0.801724651,1,1,stretching
1/1/2000 12:01:10 PM,0.823240188,1,1,stretching
1/1/2000 12:01:20 PM,1.139933298,1,1,stretching
1/1/2000 12:01:30 PM,0.960910543,1,1,stretching
1/1/2000 12:01:40 PM,1.019443703,1,1,stretching
1/1/2000 12:01:50 PM,1.034284343,1,1,stretching
1/1/2000 12:02:00 PM,0.794972021,1,1,stretching
1/1/2000 12:02:10 PM,0.978265635,1,1,stretching
1/1/2000 12:02:20 PM,0.678739157,1,1,stretching
1/1/2000 12:02:30 PM,0.801577742,1,1,stretching
1/1/2000 12:02:40 PM,0.406461351,1,1,stretching
1/1/2000 12:02:50 PM,0.356146614,1,1,stretching
1/1/2000 12:03:00 PM,0.234683605,1,1,stretching
1/1/2000 12:03:10 PM,-0.077755092,1,1,stretching
1/1/2000 12:03:20 PM,-0.218279044,1,1,stretching
1/1/2000 12:03:30 PM,-0.301965173,1,1,stretching
1/1/2000 12:03:40 PM,-0.611359146,1,1,stretching
1/1/2000 12:03:50 PM,-0.674822847,0,0,rest
1/1/2000 12:04:00 PM,-0.78399461,0,0,rest
1/1/2000 12:04:10 PM,-0.878663772,0,0,rest
1/1/2000 12:04:20 PM,-0.876994182,0,0,rest
1/1/2000 12:04:30 PM,-1.135093691,0,0,rest
1/1/2000 12:04:40 PM,-0.881189759,0,0,rest
1/1/2000 12:04:50 PM,-1.131490662,0,0,rest
1/1/2000 12:05:00 PM,-0.843948579,0,0,rest
1/1/2000 12:05:10 PM,-0.878024496,0,0,rest
1/1/2000 12:05:20 PM,-0.684306312,0,0,rest
1/1/2000 12:05:30 PM,-0.811803822,0,0,rest
1/1/2000 12:05:40 PM,-0.547831199,0,0,rest
1/1/2000 12:05:50 PM,-0.306778538,1,2,warmup
1/1/2000 12:06:00 PM,-0.083134209,1,2,warmup
1/1/2000 12:06:10 PM,-0.124980771,1,2,warmup
1/1/2000 12:06:20 PM,0.152072327,1,2,warmup
1/1/2000 12:06:30 PM,0.346677079,1,2,warmup
1/1/2000 12:06:40 PM,0.401878753,1,2,warmup
1/1/2000 12:06:50 PM,0.709199224,1,2,warmup
1/1/2000 12:07:00 PM,0.680851657,1,2,warmup
1/1/2000 12:07:10 PM,0.9422796,1,2,warmup
1/1/2000 12:07:20 PM,0.961141662,1,2,warmup
1/1/2000 12:07:30 PM,1.021231151,1,2,warmup
1/1/2000 12:07:40 PM,1.009365188,1,2,warmup
1/1/2000 12:07:50 PM,0.890395147,1,2,warmup
1/1/2000 12:08:00 PM,0.932907503,1,2,warmup
1/1/2000 12:08:10 PM,0.849153678,1,2,warmup
1/1/2000 12:08:20 PM,0.757917581,1,2,warmup
1/1/2000 12:08:30 PM,0.609582483,1,2,warmup
1/1/2000 12:08:40 PM,0.452672669,1,2,warmup
1/1/2000 12:08:50 PM,0.375955081,1,2,warmup
1/1/2000 12:09:00 PM,0.030342944,1,2,warmup
1/1/2000 12:09:10 PM,0.120083328,1,2,warmup
1/1/2000 12:09:20 PM,-0.12602117,1,2,warmup
1/1/2000 12:09:30 PM,-0.284791725,1,2,warmup
1/1/2000 12:09:40 PM,-0.714466744,1,2,warmup
1/1/2000 12:09:50 PM,-0.565941732,0,0,rest
1/1/2000 12:10:00 PM,-0.737594887,0,0,rest
1/1/2000 12:10:10 PM,-0.810762517,0,0,rest
1/1/2000 12:10:20 PM,-1.054792725,0,0,rest
1/1/2000 12:10:30 PM,-0.989908927,0,0,rest
1/1/2000 12:10:40 PM,-0.79242291,0,0,rest
1/1/2000 12:10:50 PM,-0.95303679,0,0,rest
1/1/2000 12:11:00 PM,-0.933949586,0,0,rest
1/1/2000 12:11:10 PM,-0.814724669,0,0,rest
1/1/2000 12:11:20 PM,-0.827613298,0,0,rest
1/1/2000 12:11:30 PM,-0.667544619,0,0,rest
1/1/2000 12:11:40 PM,-0.509265295,1,2,warmup
1/1/2000 12:11:50 PM,-0.455859963,1,2,warmup
1/1/2000 12:12:00 PM,-0.293347756,1,2,warmup
1/1/2000 12:12:10 PM,0.06503086,1,2,warmup
1/1/2000 12:12:20 PM,0.178774911,1,2,warmup
1/1/2000 12:12:30 PM,0.203769633,1,2,warmup
1/1/2000 12:12:40 PM,0.507382468,1,2,warmup
1/1/2000 12:12:50 PM,0.743208704,1,2,warmup
1/1/2000 12:13:00 PM,0.806225214,1,2,warmup
1/1/2000 12:13:10 PM,0.91453386,1,2,warmup
1/1/2000 12:13:20 PM,0.896195122,1,2,warmup
1/1/2000 12:13:30 PM,0.896936202,1,2,warmup
1/1/2000 12:13:40 PM,1.143409126,1,2,warmup
1/1/2000 12:13:50 PM,1.110196938,1,2,warmup
1/1/2000 12:14:00 PM,0.870331591,1,2,warmup
1/1/2000 12:14:10 PM,1.082343153,1,2,warmup
